id,food_name,aliases,category,energy_kcal,protein_g,fat_g,carb_g
I0402201,帶骨去皮對切胸(肉雞),,肉類,104,22.4,0.9,0
I0402301,帶骨帶皮對切胸(肉雞),,肉類,219,19.3,15.1,0
I04024,去皮清肉平均值,,肉類,119,23.3,2.1,0
I0402401,去皮清肉(土雞),去皮雞胸肉,肉類,121,23.4,2.3,0
I0402402,去皮清肉(肉雞),去皮雞胸肉,肉類,117,23.3,1.9,0.6
I04041,骨腿平均值,,肉類,163,18,9.5,0.2
I0404101,骨腿(土雞),雞腿,肉類,130,21.7,4.1,0
I0404102,骨腿(肉雞),雞腿,肉類,196,14.4,14.9,1.7
I04042,清腿平均值,,肉類,157,18.5,8.7,0
I0404201,清腿(土雞),雞腿,肉類,142,20.4,6.1,0
I0404202,清腿(肉雞),雞腿,肉類,173,16.6,11.3,0
I04043,棒棒腿平均值,,肉類,151,18.9,7.8,0
I0404301,棒棒腿(土雞),雞腿,肉類,143,21,5.9,0
I0404302,棒棒腿(肉雞),雞腿,肉類,159,16.8,9.7,0.3
I04044,雞排平均值,,肉類,183,17.1,12.2,0
I0404401,雞排(土雞),,肉類,158,18.9,8.6,0
I0404402,雞排(肉雞),,肉類,208,15.3,15.8,0
I0404403,雞排(肉雞)(2021年取樣),,肉類,251,14.9,20.8,0
I0404501,去皮去骨雞腿(肉雞),,肉類,165,19.8,8.9,0
I04061,二節翅平均值,,肉類,226,18.1,16.4,0
I0406101,二節翅(土雞),,肉類,228,19.8,15.9,0
I0406102,二節翅(肉雞),,肉類,223,16.4,17,0.6
I04062,三節翅平均值,,肉類,210,18.3,14.6,0
I0406201,三節翅(土雞),,肉類,198,19,13,0
I0406202,三節翅(肉雞),,肉類,222,17.7,16.3,0
I0406301,翅腿(肉雞),小雞腿,肉類,210,17.8,14.8,1
I0410101,雞絞肉,,肉類,131,27.4,1.6,0
I0420101,雞心(肉雞),,肉類,190,13.3,14.8,0.1
I0420102,雞心(肉雞)(2021年取樣),,肉類,204,14.4,15.8,1.2
I0420201,雞尾椎,雞屁股,肉類,452,9,45.9,0.1
I0420301,雞肝(肉雞),,肉類,111,18.8,3.5,2.7
I0420401,雞胗(肉雞),雞肫,肉類,89,16.6,2,0.3
I0420601,雞胸骨湯,雞高湯,肉類,9,1.5,0.3,0.2
I0420701,雞睪丸,"雞子,雞弗",肉類,71,10.6,2.8,0.2
